"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"ENJ","AKTİF PORTFÖY ENERJİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,2038","7,9144","-3,8116","-6,8160","-","-","-"
"FLY","AKTİF PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","4,6182","14,2735","25,6379","24,6566","-","-","-"
"LKT","AKTİF PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,8399","12,1924","-","-","-","-","-"
"SPT","AKTİF PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","3,1795","9,9075","17,5001","15,6403","-","-","-"
"TLK","AKTİF PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,8047","11,7571","-","-","-","-","-"
"CKF","ALBARAKA PORTFÖY ÇOKLU VARLIK KATILIM FONU","Katılım Şemsiye Fonu","4,0221","14,2847","-","-","-","-","-"
"BBP","ALLBATROSS PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,3733","11,1416","21,5383","20,2980","-","-","-"
"BFE","ALLBATROSS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","2,6716","9,3361","20,2403","19,3191","-","-","-"
"KLS","ALLBATROSS PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","1,8005","-","-","-","-","-","-"
"KKL","ALLBATROSS PORTFÖY KISA VADELİ KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9288","12,8108","25,2656","24,0405","-","-","-"
"URA","ATA PORTFÖY ENERJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","8,0186","26,1736","19,9430","19,4636","-","-","-"
"BSH","ATLAS PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","8,2459","4,6331","-9,6144","-11,3759","-","-","-"
"BTZ","ATLAS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,2373","7,1780","0,0048","-2,4753","-","-","-"
"BTJ","ATLAS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"KHJ","ATLAS PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-3,1038","4,7861","3,9075","0,5970","-","-","-"
"KLH","ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-4,2553","10,2304","27,1171","25,9678","-","-","-"
"PSE","ATLAS PORTFÖY PARA PİYASASI SERBEST FON","Serbest Şemsiye Fonu","4,1846","-","-","-","-","-","-"
"SNY","ATLAS PORTFÖY SANAYİ SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-2,9684","-","-","-","-","-","-"
"STI","ATLAS PORTFÖY SENTİMENT SERBEST FON","Serbest Şemsiye Fonu","0,8403","8,2900","9,0552","9,2529","-","-","-"
"JUP","AURA PORTFÖY JÜPİTER SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,5901","7,7554","15,3907","14,9454","-","-","-"
"PRH","AURA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,8861","12,1099","24,6051","23,3099","-","-","-"
