"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"NFF","NEO PORTFÖY FON SEPETİ SERBEST FON","Serbest Şemsiye Fonu","0,1590","3,6027","-","-","-","-","-"
"KPF","NEO PORTFÖY KAPADOKYA HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,5600","-","-","-","-","-","-"
"NKA","NEO PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,1552","-","-","-","-","-","-"
"NUB","NUROL PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,5759","12,9376","28,3780","27,5584","-","-","-"
"NPH","NUROL PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-2,3985","10,6357","5,3655","2,5882","-","-","-"
"NLE","NUROL PORTFÖY EMLAK SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","9,3688","-","-","-","-","-","-"
"NSH","NUROL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,5452","11,2574","23,3563","21,4884","-","-","-"
"NLK","NUROL PORTFÖY KISA VADELİ SERBEST FON","Serbest Şemsiye Fonu","4,0807","13,0412","-","-","-","-","-"
"NME","NUROL PORTFÖY MERCAN KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","4,5503","13,0490","-","-","-","-","-"
"NSP","NUROL PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","3,9129","12,1318","-","-","-","-","-"
"NZU","NUROL PORTFÖY ZÜMRÜT KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3024","6,0171","-","-","-","-","-"
"PLR","OSMANLI PORTFÖY PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","3,9820","-","-","-","-","-","-"
"PAO","PARDUS PORTFÖY ANADOLU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-15,7205","-","-","-","-","-","-"
"BRT","PARDUS PORTFÖY BEREKET HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,5449","-","-","-","-","-","-"
"PPH","PARDUS PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,5694","18,3732","-","-","-","-","-"
"PBI","PARDUS PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","1,9539","11,0808","17,1551","15,6459","-","-","-"
"PP1","PARDUS PORTFÖY BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","0,5398","11,4545","-","-","-","-","-"
"PKV","PARDUS PORTFÖY KISA VADELİ SERBEST (TL) FON","Serbest Şemsiye Fonu","4,2185","13,2706","-","-","-","-","-"
"PMP","PARDUS PORTFÖY MODEL PORTFÖY HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","4,7454","-","-","-","-","-","-"
"POS","PARDUS PORTFÖY ONBEŞİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-3,4774","0,2348","-19,2236","-18,5252","-","-","-"
"SRL","PARDUS PORTFÖY SÜRDÜRÜLEBİLİRLİK HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"PTO","PARDUS PORTFÖY TEMETTÜ ÖDEYEN ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,9726","5,2193","-","-","-","-","-"
"PYR","PARDUS PORTFÖY YİRMİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,9649","-","-","-","-","-","-"
"PEA","PERFORM PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","-","-","-","-","-","-","-"
"PHK","PHİLLİP PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-","-","-","-","-","-","-"
"PBN","PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-2,5729","-","-","-","-","-","-"
"PID","PİRAMİT PORTFÖY DEĞİŞKEN FON","Değişken Şemsiye Fonu","3,2382","11,1337","19,8675","18,9133","-","-","-"
"PHI","PİRAMİT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-1,1156","4,2424","-0,2567","-0,1325","-","-","-"
"PPM","PİRAMİT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","4,0472","11,9108","23,0394","21,7689","-","-","-"
"PRD","PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,9252","12,3071","25,3148","23,9638","-","-","-"
"PKD","PUSULA PORTFÖY İKİNCİ DENGE KATILIM SERBEST FON","Serbest Şemsiye Fonu","-4,0242","-","-","-","-","-","-"
"ORC","QINVEST PORTFÖY ALFA SERBEST FON","Serbest Şemsiye Fonu","1,9201","8,2152","8,8194","10,9995","-","-1,3735","-"
"PGD","QİNVEST PORTFÖY AGRESİF DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,9864","12,7887","-","-","-","-","-"
"PPK","QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,8118","11,8813","24,1139","22,8813","-","-","-"
"PTS","QNB PORTFÖY PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"RBL","QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","6,7995","17,9273","-","-","-","-","-"
"RBB","RE-PIE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,7474","-","-","-","-","-","-"
"RHI","RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,5075","-","-","-","-","-","-"
"RBP","RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,9229","12,1656","25,2004","23,8708","-","-","-"
"RKH","RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-0,4932","-4,3847","-15,1731","-15,8153","-","-","-"
"RRP","RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON","Katılım Şemsiye Fonu","3,7000","-","-","-","-","-","-"
"RTD","RE-PIE PORTFÖY TEKNOLOJİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","5,2112","9,2050","10,6693","9,7427","-","-","-"
"RBF","ROTA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,3812","10,0048","14,7769","11,7632","-","-","-"
"RD1","ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,2532","8,9994","21,9014","21,3564","-","-","-"
"RS1","ROTA PORTFÖY BİRİNCİ KISA VADELİ SERBEST FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"RDF","ROTA PORTFÖY DOKUZUNCU HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,5606","7,3722","5,7966","3,9044","-","-","-"
"RKC","ROTA PORTFÖY İKİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-","-","-","-","-","-","-"
"RPI","ROTA PORTFÖY İKİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,0883","1,1003","-2,5210","-3,2189","-","-","-"
"CFO","ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU","Para Piyasası Şemsiye Fonu","3,9301","12,3049","24,7919","23,4933","-","-","-"
"RIA","ROTA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"RKS","ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","3,4349","10,4709","21,5154","20,5506","-","-","-"
"PKR","ROTA PORTFÖY PARA PİYASASI KATILIM FONU","Katılım Şemsiye Fonu","-","-","-","-","-","-","-"
"SBH","SPARTA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"SPP","SPARTA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","-","-","-","-","-","-","-"
"LPH","STATECH PORTFÖY İKİNCİ ALPHA SERBEST FON","Serbest Şemsiye Fonu","3,3129","-1,8202","-17,9359","-18,2470","-","-","-"
"DNK","TACİRLER PORTFÖY DENGE KATILIM SERBEST FON","Serbest Şemsiye Fonu","3,3721","10,0212","-","-","-","-","-"
"PTE","TEB PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON","Serbest Şemsiye Fonu","3,9673","-","-","-","-","-","-"
"MRI","TEB PORTFÖY MERİDYEN SERBEST FON","Serbest Şemsiye Fonu","0,5349","5,9987","15,8457","15,2338","-","-","-"
"TRJ","TERA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU","Borçlanma Araçları Şemsiye Fonu","3,5587","16,4877","-","-","-","-","-"
"DOH","TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","1,0636","-","-","-","-","-","-"
"THF","TERA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","0,9513","3,9570","-","-","-","-","-"
"TRU","TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","2,3418","6,0765","16,5028","16,3754","-","-","-"
"TP2","TERA PORTFÖY PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,9463","13,4985","-","-","-","-","-"
"TRO","TRIVE PORTFÖY ALTIN FONU","Kıymetli Madenler Şemsiye Fonu","1,3395","5,1581","30,4228","27,2744","-","-","-"
"KRA","TRİVE PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","1,8222","6,8420","16,5289","15,6040","-","-","-"
"FLS","YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON","Serbest Şemsiye Fonu","6,2612","17,7305","-","-","-","-","-"
"YHI","YAPI KREDİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","0,7531","8,1024","-","-","-","-","-"
"YMH","YAPI KREDİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON)","Serbest Şemsiye Fonu","3,1039","8,5370","-","-","-","-","-"
"PKT","YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON","Serbest Şemsiye Fonu","-","-","-","-","-","-","-"
"YSO","YAPI KREDİ PORTFÖY SAĞLIK SEKTÖRÜ SERBEST FON","Serbest Şemsiye Fonu","3,2830","0,9003","-","-","-","-","-"
"SSS","YAPI KREDİ PORTFÖY SAVUNMA SANAYİİ ŞİRKETLERİ ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-0,5654","-2,5236","-","-","-","-","-"
"YVB","YAPI KREDİ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,4953","11,6497","-","-","-","-","-"
"BIG","YAPI KREDİ PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","1,1711","1,5603","0,7887","-1,3261","-","-","-"
"PPI","YAPI KREDİ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU","Para Piyasası Şemsiye Fonu","3,8822","12,2244","24,6057","23,2936","-","-","-"
"YBH","YAPI KREDİ PORTFÖY 5-15 YIL VADELİ SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,7986","8,3568","-","-","-","-","-"
"ZBI","ZİRAAT PORTFÖY ÇOKLU VARLIK BİRİNCİ KATILIM FONU","Katılım Şemsiye Fonu","3,2095","10,3298","20,7119","19,4185","-","-","-"
"ZCK","ZİRAAT PORTFÖY ÇOKLU VARLIK İKİNCİ KATILIM FONU","Katılım Şemsiye Fonu","-2,4933","6,7760","5,1259","-0,1806","-","-","-"
"ZHH","ZİRAAT PORTFÖY HALKBANK SÜRDÜRÜLEBİLİRLİK 30 ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","2,6672","3,1240","-0,5943","-1,0497","-","-","-"
"HKG","ZİRAAT PORTFÖY HALK'IN ÜRETEN KADINLARI DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,9015","5,8849","1,6305","0,6595","-","-","-"
